15	10	E	-6210697.7521561915	200
transitionprobs	15	3	0.0
transitionprobs	15	4	4.590418102984697E-7
transitionprobs	15	5	0.0
transitionprobs	15	6	0.056938947123081764
transitionprobs	15	7	3.969353465009587E-5
transitionprobs	15	8	3.2694891936635575E-4
transitionprobs	15	9	0.0018077904517491133
transitionprobs	15	10	0.12096884723099895
transitionprobs	15	11	2.2297740899766006E-4
transitionprobs	15	12	2.2806386618548382E-5
transitionprobs	15	13	0.0019368508354885726
transitionprobs	15	14	0.08034032326524683
transitionprobs	15	15	0.7356387486369204
emissionprobs	1	0	H3k09me3	0	0.9872451430396406
emissionprobs	1	0	H3k09me3	1	0.012754856960359464
emissionprobs	1	1	H3k27ac	0	0.9988021452348402
emissionprobs	1	1	H3k27ac	1	0.0011978547651596671
emissionprobs	1	2	H3k27me3	0	0.33592966985703
emissionprobs	1	2	H3k27me3	1	0.6640703301429699
emissionprobs	1	3	H3k36me3	0	0.9988577965031326
emissionprobs	1	3	H3k36me3	1	0.0011422034968675407
emissionprobs	1	4	H3k4me1	0	0.9707687081468576
emissionprobs	1	4	H3k4me1	1	0.029231291853142435
emissionprobs	1	5	H3k4me2	0	1.0
emissionprobs	1	5	H3k4me2	1	1.5614752975175442E-37
emissionprobs	1	6	H3k4me3	0	0.9987553070281278
emissionprobs	1	6	H3k4me3	1	0.0012446929718721597
emissionprobs	1	7	H3k79me2	0	0.997875728107731
emissionprobs	1	7	H3k79me2	1	0.0021242718922690053
emissionprobs	1	8	H3k9ac	0	0.9974489996794551
emissionprobs	1	8	H3k9ac	1	0.0025510003205449607
emissionprobs	1	9	H4k20me1	0	0.9400782636123268
emissionprobs	1	9	H4k20me1	1	0.05992173638767322
emissionprobs	2	0	H3k09me3	0	0.9928059924092903
emissionprobs	2	0	H3k09me3	1	0.007194007590709619
emissionprobs	2	1	H3k27ac	0	0.9979575302825872
emissionprobs	2	1	H3k27ac	1	0.002042469717412779
emissionprobs	2	2	H3k27me3	0	0.15115305286956615
emissionprobs	2	2	H3k27me3	1	0.8488469471304338
emissionprobs	2	3	H3k36me3	0	0.9990965388775571
emissionprobs	2	3	H3k36me3	1	9.034611224428807E-4
emissionprobs	2	4	H3k4me1	0	0.6655946272600965
emissionprobs	2	4	H3k4me1	1	0.3344053727399034
emissionprobs	2	5	H3k4me2	0	0.23698210026004354
emissionprobs	2	5	H3k4me2	1	0.7630178997399565
emissionprobs	2	6	H3k4me3	0	0.8849742007849536
emissionprobs	2	6	H3k4me3	1	0.11502579921504642
emissionprobs	2	7	H3k79me2	0	0.996381580093364
emissionprobs	2	7	H3k79me2	1	0.0036184199066359966
emissionprobs	2	8	H3k9ac	0	0.9919729372626357
emissionprobs	2	8	H3k9ac	1	0.008027062737364352
emissionprobs	2	9	H4k20me1	0	0.8934540731089092
emissionprobs	2	9	H4k20me1	1	0.10654592689109076
emissionprobs	3	0	H3k09me3	0	0.996377755664724
emissionprobs	3	0	H3k09me3	1	0.0036222443352759972
emissionprobs	3	1	H3k27ac	0	0.9972849220323463
emissionprobs	3	1	H3k27ac	1	0.0027150779676536805
emissionprobs	3	2	H3k27me3	0	0.11824748484728495
emissionprobs	3	2	H3k27me3	1	0.881752515152715
emissionprobs	3	3	H3k36me3	0	0.9992447353877912
emissionprobs	3	3	H3k36me3	1	7.552646122086511E-4
emissionprobs	3	4	H3k4me1	0	0.6940707658098829
emissionprobs	3	4	H3k4me1	1	0.30592923419011714
emissionprobs	3	5	H3k4me2	0	7.633348474930253E-4
emissionprobs	3	5	H3k4me2	1	0.9992366651525069
emissionprobs	3	6	H3k4me3	0	0.039199518851555086
emissionprobs	3	6	H3k4me3	1	0.960800481148445
emissionprobs	3	7	H3k79me2	0	0.9925734616212047
emissionprobs	3	7	H3k79me2	1	0.007426538378795277
emissionprobs	3	8	H3k9ac	0	0.8943125313530236
emissionprobs	3	8	H3k9ac	1	0.10568746864697642
emissionprobs	3	9	H4k20me1	0	0.9380326448681375
emissionprobs	3	9	H4k20me1	1	0.06196735513186237
emissionprobs	4	0	H3k09me3	0	0.9978777942246931
emissionprobs	4	0	H3k09me3	1	0.002122205775306958
emissionprobs	4	1	H3k27ac	0	0.9424036618634958
emissionprobs	4	1	H3k27ac	1	0.05759633813650422
emissionprobs	4	2	H3k27me3	0	0.9761421503145514
emissionprobs	4	2	H3k27me3	1	0.023857849685448507
emissionprobs	4	3	H3k36me3	0	0.9998355611352227
emissionprobs	4	3	H3k36me3	1	1.6443886477733247E-4
emissionprobs	4	4	H3k4me1	0	0.8531716842739241
emissionprobs	4	4	H3k4me1	1	0.14682831572607585
emissionprobs	4	5	H3k4me2	0	0.05287695349168936
emissionprobs	4	5	H3k4me2	1	0.9471230465083107
emissionprobs	4	6	H3k4me3	0	0.010307377685803422
emissionprobs	4	6	H3k4me3	1	0.9896926223141965
emissionprobs	4	7	H3k79me2	0	0.993915447729732
emissionprobs	4	7	H3k79me2	1	0.006084552270267973
emissionprobs	4	8	H3k9ac	0	0.6547293198503533
emissionprobs	4	8	H3k9ac	1	0.3452706801496466
emissionprobs	4	9	H4k20me1	0	0.9833563550333528
emissionprobs	4	9	H4k20me1	1	0.016643644966647123
emissionprobs	5	0	H3k09me3	0	0.9976751291625937
emissionprobs	5	0	H3k09me3	1	0.002324870837406274
emissionprobs	5	1	H3k27ac	0	0.38275065953611637
emissionprobs	5	1	H3k27ac	1	0.6172493404638837
emissionprobs	5	2	H3k27me3	0	0.9973772383422004
emissionprobs	5	2	H3k27me3	1	0.0026227616577996125
emissionprobs	5	3	H3k36me3	0	0.995932658630813
emissionprobs	5	3	H3k36me3	1	0.004067341369186938
emissionprobs	5	4	H3k4me1	0	0.9151599762447065
emissionprobs	5	4	H3k4me1	1	0.08484002375529354
emissionprobs	5	5	H3k4me2	0	0.054427743535877725
emissionprobs	5	5	H3k4me2	1	0.9455722564641224
emissionprobs	5	6	H3k4me3	0	0.024507993433459115
emissionprobs	5	6	H3k4me3	1	0.9754920065665409
emissionprobs	5	7	H3k79me2	0	0.7542613399224062
emissionprobs	5	7	H3k79me2	1	0.24573866007759385
emissionprobs	5	8	H3k9ac	0	0.016095269225644148
emissionprobs	5	8	H3k9ac	1	0.9839047307743559
emissionprobs	5	9	H4k20me1	0	0.9629838408246579
emissionprobs	5	9	H4k20me1	1	0.03701615917534208
emissionprobs	6	0	H3k09me3	0	0.9939601448220382
emissionprobs	6	0	H3k09me3	1	0.006039855177961829
emissionprobs	6	1	H3k27ac	0	0.889067168484865
emissionprobs	6	1	H3k27ac	1	0.110932831515135
emissionprobs	6	2	H3k27me3	0	0.9879553750989588
emissionprobs	6	2	H3k27me3	1	0.012044624901041152
emissionprobs	6	3	H3k36me3	0	0.9971836498294566
emissionprobs	6	3	H3k36me3	1	0.0028163501705434427
emissionprobs	6	4	H3k4me1	0	0.7353664212757807
emissionprobs	6	4	H3k4me1	1	0.26463357872421944
emissionprobs	6	5	H3k4me2	0	0.36793713598154293
emissionprobs	6	5	H3k4me2	1	0.632062864018457
emissionprobs	6	6	H3k4me3	0	0.8778459160176836
emissionprobs	6	6	H3k4me3	1	0.1221540839823165
emissionprobs	6	7	H3k79me2	0	0.9882435359609424
emissionprobs	6	7	H3k79me2	1	0.011756464039057666
emissionprobs	6	8	H3k9ac	0	0.9259724520373134
emissionprobs	6	8	H3k9ac	1	0.07402754796268668
emissionprobs	6	9	H4k20me1	0	0.9823208345315099
emissionprobs	6	9	H4k20me1	1	0.017679165468490143
emissionprobs	7	0	H3k09me3	0	0.9935057399276134
emissionprobs	7	0	H3k09me3	1	0.006494260072386618
emissionprobs	7	1	H3k27ac	0	0.9254385903293557
emissionprobs	7	1	H3k27ac	1	0.07456140967064427
emissionprobs	7	2	H3k27me3	0	0.9895578460103228
emissionprobs	7	2	H3k27me3	1	0.01044215398967712
emissionprobs	7	3	H3k36me3	0	0.9458043186362234
emissionprobs	7	3	H3k36me3	1	0.05419568136377663
emissionprobs	7	4	H3k4me1	0	0.7812335633878469
emissionprobs	7	4	H3k4me1	1	0.21876643661215298
